IRDye™ 800 in PBS,,IRDye800CW emis corr.,,,,,,
Wavelength (nm),Absorption AU,wavelength,signal,,,,,
395,0.0025,,,,,,,
396,0.0026,,,,,,,
397,0.0028,,,,,,,
398,0.0021,,,,,,,
399,0.0024,,,,,,,
400,0.0024,,,,,,,
401,0.0024,,,,,,,
402,0.0024,,,,,,,
403,0.0023,,,,,,,
404,0.0022,,,,,,,
405,0.0022,,,,,,,
406,0.0026,,,,,,,
407,0.0020,,,,,,,
408,0.0025,,,,,,,
409,0.0023,,,,,,,
410,0.0023,,,,,,,
411,0.0025,,,,,,,
412,0.0023,,,,,,,
413,0.0023,,,,,,,
414,0.0026,,,,,,,
415,0.0025,,,,,,,
416,0.0020,,,,,,,
417,0.0026,,,,,,,
418,0.0024,,,,,,,
419,0.0023,,,,,,,
420,0.0023,,,,,,,
421,0.0022,,,,,,,
422,0.0027,,,,,,,
423,0.0022,,,,,,,
424,0.0026,,,,,,,
425,0.0022,,,,,,,
426,0.0023,,,,,,,
427,0.0025,,,,,,,
428,0.0025,,,,,,,
429,0.0025,,,,,,,
430,0.0025,,,,,,,
431,0.0027,,,,,,,
432,0.0023,,,,,,,
433,0.0025,,,,,,,
434,0.0024,,,,,,,
435,0.0023,,,,,,,
436,0.0024,,,,,,,
437,0.0024,,,,,,,
438,0.0020,,,,,,,
439,0.0021,,,,,,,
440,0.0025,,,,,,,
441,0.0021,,,,,,,
442,0.0023,,,,,,,
443,0.0021,,,,,,,
444,0.0020,,,,,,,
445,0.0019,,,,,,,
446,0.0018,,,,,,,
447,0.0019,,,,,,,
448,0.0015,,,,,,,
449,0.0016,,,,,,,
450,0.0015,,,,,,,
451,0.0015,,,,,,,
452,0.0010,,,,,,,
453,0.0013,,,,,,,
454,0.0010,,,,,,,
455,0.0009,,,,,,,
456,0.0011,,,,,,,
457,0.0014,,,,,,,
458,0.0010,,,,,,,
459,0.0010,,,,,,,
460,0.0012,,,,,,,
461,0.0010,,,,,,,
462,0.0011,,,,,,,
463,0.0010,,,,,,,
464,0.0009,,,,,,,
465,0.0010,,,,,,,
466,0.0012,,,,,,,
467,0.0011,,,,,,,
468,0.0004,,,,,,,
469,0.0013,,,,,,,
470,0.0008,,,,,,,
471,0.0010,,,,,,,
472,0.0009,,,,,,,
473,0.0008,,,,,,,
474,0.0007,,,,,,,
475,0.0009,,,,,,,
476,0.0011,,,,,,,
477,0.0009,,,,,,,
478,0.0006,,,,,,,
479,0.0011,,,,,,,
480,0.0011,,,,,,,
481,0.0010,,,,,,,
482,0.0004,,,,,,,
483,0.0009,,,,,,,
484,0.0005,,,,,,,
485,0.0004,,,,,,,
486,0.0008,,,,,,,
487,0.0011,,,,,,,
488,0.0007,,,,,,,
489,0.0010,,,,,,,
490,0.0012,,,,,,,
491,0.0009,,,,,,,
492,0.0005,,,,,,,
493,0.0006,,,,,,,
494,0.0008,,,,,,,
495,0.0005,,,,,,,
496,0.0003,,,,,,,
497,0.0005,,,,,,,
498,0.0006,,,,,,,
499,0.0008,,,,,,,
500,0.0005,,,,,,,
501,0.0008,,,,,,,
502,0.0007,,,,,,,
503,0.0006,,,,,,,
504,0.0005,,,,,,,
505,0.0008,,,,,,,
506,0.0004,,,,,,,
507,0.0004,,,,,,,
508,0.0005,,,,,,,
509,0.0006,,,,,,,
510,0.0008,,,,,,,
511,0.0006,,,,,,,
512,0.0009,,,,,,,
513,0.0006,,,,,,,
514,0.0009,,,,,,,
515,0.0009,,,,,,,
516,0.0007,,,,,,,
517,0.0008,,,,,,,
518,0.0008,,,,,,,
519,0.0007,,,,,,,
520,0.0010,,,,,,,
521,0.0010,,,,,,,
522,0.0005,,,,,,,
523,0.0009,,,,,,,
524,0.0009,,,,,,,
525,0.0010,,,,,,,
526,0.0008,,,,,,,
527,0.0011,,,,,,,
528,0.0011,,,,,,,
529,0.0009,,,,,,,
530,0.0010,,,,,,,
531,0.0008,,,,,,,
532,0.0012,,,,,,,
533,0.0010,,,,,,,
534,0.0008,,,,,,,
535,0.0011,,,,,,,
536,0.0011,,,,,,,
537,0.0011,,,,,,,
538,0.0013,,,,,,,
539,0.0012,,,,,,,
540,0.0009,,,,,,,
541,0.0009,,,,,,,
542,0.0012,,,,,,,
543,0.0013,,,,,,,
544,0.0013,,,,,,,
545,0.0012,,,,,,,
546,0.0013,,,,,,,
547,0.0014,,,,,,,
548,0.0015,,,,,,,
549,0.0014,,,,,,,
550,0.0016,,,,,,,
551,0.0016,,,,,,,
552,0.0016,,,,,,,
553,0.0017,,,,,,,
554,0.0017,,,,,,,
555,0.0016,,,,,,,
556,0.0017,,,,,,,
557,0.0016,,,,,,,
558,0.0016,,,,,,,
559,0.0018,,,,,,,
560,0.0019,,,,,,,
561,0.0018,,,,,,,
562,0.0018,,,,,,,
563,0.0019,,,,,,,
564,0.0019,,,,,,,
565,0.0019,,,,,,,
566,0.0019,,,,,,,
567,0.0019,,,,,,,
